Country,AK,AL,AR,AZ,BOP,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,Military,NC,ND,NE,NH,NJ,NM,NN,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,US,UT,VA,VI,VT,WA,WI,WV,WY
2020/4/2,117,1106,626,1413,,9965,3324,3557,586,368,7549,4743,,245,552,662,6981,2567,491,686,6421,7738,1986,344,9325,688,1674,,1066,214,1405,1770,147,211,415,22346,363,214,1167,84036,2546,721,735,6063,286,566,1293,129,2683,4590,217618,990,1484,,320,5984,1571,189,137
2020/4/3,143,1270,687,1596,,11126,3742,3824,757,393,9003,5440,,270,612,889,7698,3037,555,769,9104,8966,2331,376,10791,742,1863,,1357,243,1638,2039,159,255,479,25536,403,214,1352,92730,2902,881,826,7345,316,657,1553,165,2845,5239,247208,1066,1702,,338,6595,1742,217,153
2020/4/4,157,1532,736,1769,,12565,4181,4914,902,450,10262,5955,,315,700,1011,8905,3434,629,813,10170,10402,2758,432,12744,789,2154,,1357,262,1752,2333,173,285,540,29974,490,214,1567,103144,3297,989,898,8570,378,711,1699,187,3068,6050,279929,1248,2025,,389,6967,1998,237,166
2020/4/5,171,1631,740,2019,,13914,4565,5276,998,593,11539,6373,,350,785,1075,10360,3954,698,898,12484,11677,3172,455,14223,865,2344,,1638,281,1752,2546,186,322,621,34403,543,270,1733,114157,3739,1159,999,10506,452,806,1913,212,3321,6756,314254,1428,2412,,461,7591,2128,281,186
2020/4/6,185,1840,849,2269,,15201,4950,5675,1002,673,12350,6729,112,371,869,1100,11257,4424,756,937,13010,12500,3617,470,15717,933,2458,,1737,296,1752,2684,207,365,669,37860,624,354,1836,123143,4043,1254,1067,11640,475,922,2048,240,3627,7253,340120,1599,2636,,512,7984,2319,320,200
2020/4/7,191,2003,926,2456,,16363,5178,6906,1097,783,13629,7549,113,387,945,1169,12263,4954,849,1028,14866,13837,4045,499,17219,984,2869,,1737,318,2528,3033,225,415,715,41539,686,384,1970,131812,4444,1328,1132,13206,513,1083,2230,288,3786,8159,371389,1680,2876,,543,8384,2509,345,212
2020/4/8,213,2197,996,2575,,17625,5429,7781,1440,928,14747,9131,121,410,1048,1210,13542,5540,924,1148,16284,15200,4370,519,18970,1066,3211,,1915,318,2657,3325,237,477,747,44767,794,426,2131,140368,4781,1470,1181,14955,573,1229,2413,320,4084,9213,406085,1738,3328,,575,8986,2578,412,221
2020/4/9,226,2497,1076,2726,,19031,5655,8781,1440,1116,15698,10203,125,435,1145,1232,15079,5943,1046,1340,17030,16790,5528,537,20345,1152,3433,,2003,332,3160,3578,251,532,788,47725,865,482,2318,151057,5146,1529,1237,16746,620,1450,2552,393,4362,10074,439181,1847,3646,,605,9275,2811,481,230
2020/4/10,235,2838,1144,3018,,20169,6202,9784,1523,1209,16826,10882,128,442,1270,1354,16424,6351,1106,1451,18280,18941,6184,560,21504,1242,3630,,2260,354,3191,3836,269,576,819,51448,989,558,2492,161785,5511,1684,1320,18632,683,1727,2791,447,4617,11482,473936,1977,4043,,628,9750,2889,521,239
2020/4/11,246,3006,1201,3112,481,21388,6511,10538,1660,1326,17967,11852,130,465,1388,1396,17887,6907,1171,1692,19249,20973,6968,585,22781,1336,3955,,2468,365,3366,4089,278,646,885,54988,1090,593,2603,172946,5877,1792,1371,20407,725,2015,3064,536,4874,12392,508822,2103,4510,,679,10177,3068,573,253
2020/4/12,257,3261,1226,3393,523,22416,6892,11510,1778,1479,18983,12261,133,486,1510,1407,19179,7433,1266,1817,20011,22859,7694,615,23990,1423,4157,,2640,377,3366,4394,293,704,929,58601,1174,678,2746,181799,6248,1868,1447,21942,788,2349,3207,626,5113,13352,539049,2206,5078,,711,10416,3213,592,261
2020/4/13,272,3579,1273,3542,541,23301,7307,12035,1875,1625,19893,12550,133,498,1587,1425,20852,7924,1334,1966,20592,25474,8225,632,24626,1618,4282,,2781,387,3509,4596,308,807,984,62121,1244,678,2835,190269,6599,1970,1527,22997,897,2665,3311,730,5346,13883,566426,2302,5273,,727,10530,3341,606,270
2020/4/14,277,3800,1471,3704,589,24372,7693,13381,1955,1761,21019,13621,133,503,1710,1462,22023,8368,1385,2047,21012,26866,8935,696,25633,1647,4536,,2940,394,4528,4976,331,867,1018,64859,1345,813,3028,196129,6975,2064,1583,24332,903,2976,3437,868,5607,14502,593305,2362,5746,,748,10725,3427,633,275
2020/4/15,285,3950,1494,3801,692,25779,7948,13989,2058,1926,21623,14578,135,516,1896,1471,23244,8527,1439,2202,21512,28163,9470,734,26986,1692,4779,,3085,399,4528,5134,341,898,1090,69079,1407,838,3143,207140,7285,2177,1632,25590,923,3251,3551,988,5820,15344,623728,2417,6171,,759,10838,3555,693,282
2020/4/16,293,4240,1599,3968,728,27098,8280,14753,2197,2014,22519,15267,135,529,1994,1508,24592,8960,1525,2283,21947,29918,10031,770,28059,1807,5006,,3360,404,4766,5415,365,950,1139,71573,1484,921,3211,218883,7791,2261,1663,26804,974,3529,3656,1168,6100,16289,654923,2548,6499,,759,10971,3721,723,288
