,state_name:,county:,5/16,5/17
1462,NM,Bernalillo,1194,1194
1463,NM,Chaves,30,30
1464,NM,Cibola,101,101
1465,NM,Curry,40,40
1466,NM,Dona Ana,282,282
1467,NM,Eddy,17,17
1468,NM,Grant,16,16
1469,NM,Lea,15,15
1470,NM,McKinley,1864,1864
1471,NM,Otero,9,9
1472,NM,Rio Arriba,31,31
1473,NM,Roosevelt,26,26
1474,NM,San Juan,1316,1316
1475,NM,San Miguel,10,10
1476,NM,Sandoval,488,488
1477,NM,Santa Fe,122,122
1478,NM,Socorro,49,49
1479,NM,Taos,22,22
1480,NM,Torrance,18,18
1481,NM,Unassigned,80,80
1482,NM,Valencia,64,64
1483,NN,Apache(AZ),889,889
1484,NN,Cibola(NM),37,37
1485,NN,Coconino(AZ),335,335
1486,NN,McKinley(NM),912,912
1487,NN,Navajo(AZ),697,697
1488,NN,San Juan(NM),410,410
1489,NN,San Juan(UT),57,57
1490,NV,Carson City,70,"""U2FsdGVkX1+dE3xAAwM36i88yJw5QTITxssVK15gciw="""
1491,NV,Clark,5298,"""U2FsdGVkX19eWy33A4T/dlkgpHoPJ6pHU1SgevKgq4k="""
1492,NV,Douglas,25,"""U2FsdGVkX1/286fNTIwDRkT1hkxm9dZIUzxwImRbURw="""
1493,NV,Elko,20,"""U2FsdGVkX1/k4ikFDFrHC+xo6JzvTVnD7ISAbgXysdI="""
1494,NV,Humboldt,71,"""U2FsdGVkX189lMZiIRnOvP2nMzfh0noGBXnp3WXKx2o="""
1495,NV,Lyon,47,"""U2FsdGVkX1/bVzKPm5NGEsS3vnfvY/hRnmdU9YyRok4="""
1496,NV,Nye,58,"""U2FsdGVkX19KpUyEL9sgsldMkNZEjvwBQezmIYZhuGs="""
1497,NV,Unassigned,0,"""U2FsdGVkX1/b+HwAqgKraz6pCcO1BXYD+Qvka/zZRdk="""
1498,NV,Washoe,1190,"""U2FsdGVkX1/ufnZhfFn7sBoQc6h7v2gaVcwReOI8qTg="""
1499,NV,White Pine,3,"""U2FsdGVkX19BBxj795+GBGKD+PfACF/W9VHQVg08+7w="""
1500,NY,Albany,1572,"""U2FsdGVkX19WiV3By/uU6KySxq3LZIEpUb7x1uXTTz8="""
1501,NY,Broome,413,"""U2FsdGVkX19H6K1fN6uCKEuUrGYX1QA8fiQrJxabx2s="""
1502,NY,Cattaraugus,65,"""U2FsdGVkX1+umo84gjsqnhpVwvVoTtKfFlQ0IEQ3iKo="""
1503,NY,Cayuga,64,"""U2FsdGVkX1+sLvoy5uJsvIQjTu/YhrnBmOVuhegb2GU="""
1504,NY,Chautauqua,48,"""U2FsdGVkX18qoimy/Qrauva+ccQMcE52VFwXqI4sx7Y="""
1505,NY,Chemung,134,"""U2FsdGVkX1+TykfSS7s6FakF6aufo9zZ7Q/A4bqRj8c="""
1506,NY,Chenango,115,"""U2FsdGVkX1+Yoh+SHaxAdZS2G8eSTN2JMXzNOzYdxns="""
1507,NY,Clinton,112,"""U2FsdGVkX1+cG/6lyNAvjOAPgazzTHW99ecYkuB1t+4="""
1508,NY,Columbia,340,"""U2FsdGVkX1+uBOGgPi+ktskix4sVNDYxd5IF8af2Urg="""
1509,NY,Cortland,36,"""U2FsdGVkX18VncDkQMuctrq2f399n3XqveQVDM9cCBc="""
1510,NY,Delaware,74,"""U2FsdGVkX1/yBWOndNpO/D79CJY0p9G6CH/JnS7jOok="""
1511,NY,Dutchess,3527,"""U2FsdGVkX1+uS8DS+qHQUKxiihqxA50O+sXM7XvK4xA="""
1512,NY,Erie,4867,"""U2FsdGVkX19jPsalXY95/F1VKZ1LbsmWpieIRXVVo1Q="""
1513,NY,Essex,32,"""U2FsdGVkX18V7LRTP0R+iux8xjnkdGgU2R76d3WHSFo="""
1514,NY,Franklin,18,"""U2FsdGVkX1+5WjzhOQ970FzOL5wUJZrmmNdlozRUuQo="""
1515,NY,Fulton,148,"""U2FsdGVkX1/Op4irh8yaMeWYkm9ubAwaFBgZszGqJjY="""
1516,NY,Genesee,178,"""U2FsdGVkX1+9D9LMq7z7WvKHm9Nd4KWWBBmBT4TqRJU="""
1517,NY,Greene,229,"""U2FsdGVkX1+ZkpeqAvC4MCgm7ck/McPj9jdsF/jHnq8="""
1518,NY,Hamilton,5,"""U2FsdGVkX1+LvDYAoZ37TAF+HusRTkl92A4+Cuv/ko8="""
1519,NY,Herkimer,91,"""U2FsdGVkX191NxZ6BVA0DsVsLbIGOQcJmNlXael8qjE="""
1520,NY,Jefferson,71,"""U2FsdGVkX1/+7QdF3d83EDlwSKr2fB3VGkoLXiy7HyA="""
1521,NY,Lewis,13,"""U2FsdGVkX195S+dMi/GmbeY6vbCF2UL2HPwnn4qCY2U="""
1522,NY,Livingston,107,"""U2FsdGVkX18nofuT7KOLpUjuuzOpbh7jiFigxUvrFhg="""
1523,NY,Madison,278,"""U2FsdGVkX1/aeoHMqm0g36y+acbtJBTE76l9oGGW+FA="""
1524,NY,Monroe,2192,"""U2FsdGVkX18EA4Q39WwTFSj/IUW/PyAoZA0CdI7BcRQ="""
1525,NY,Montgomery,75,"""U2FsdGVkX1/9qjeJXtXQEEn1P69CA6fcP3mQR6Spm2s="""
1526,NY,Nassau,39033,"""U2FsdGVkX18mpqV0Ud49WKW2Bo4+bqaKLrjodX1JauQ="""
1527,NY,New York,196654,"""U2FsdGVkX18LIr4qbgJcdxHODZfYjFJFtPqLqGgH6Qc="""
1528,NY,Niagara,770,"""U2FsdGVkX18epot9HvSz3sgxxemiUUK6/upIRjoOLFE="""
1529,NY,Oneida,751,"""U2FsdGVkX18wkCyRSw/baIOFkwbLyJ0ng1wnze8GwBY="""
